sadness	anger	fear	anxiety	despair	joy	gratitude	surprise	neutral
0.02221108884435537	0.004926519706078824	0.00292251169004676	0.0167000668002672	0.004592518370073481	0.05427521710086842	0.021209084836339348	0.015865063460253848	0.8478623914495655
0.10295591182364726	0.0012525050100200398	0.006930527722110887	0.020123580494321978	0.013360053440213765	0.12383099532398131	0.07122578490313965	0.017952571810287248	0.6138109552438212
0.1381095524382098	0.004926519706078825	0.011606546426185705	0.017535070140280565	0.016282565130260523	0.14754509018036072	0.12458249832999316	0.009101536406145624	0.49966599866399447
0.14712758851035404	0.01027054108216433	0.01686706746826987	0.015364061456245833	0.017368069472277887	0.17409819639278548	0.15138610554442222	0.019288577154308612	0.41624916499665965
0.15965263861055443	0.015197060788243157	0.01736806947227789	0.013193052772211092	0.017201068804275223	0.18011022044088165	0.16758517034068154	0.01661656646626587	0.3752505010020036
0.18520374081496344	0.00876753507014028	0.023547094188376753	0.017451569806279228	0.01845357381429526	0.17560120240480967	0.15998663994655982	0.015698062792251173	0.3563794255177017
0.16933867735470948	0.016950567802271208	0.03106212424849699	0.01369405477621911	0.02120908483633935	0.1924682698730794	0.1658316633266533	0.02104208416833668	0.3317468269873079
0.16608216432865738	0.017034068136272545	0.03724114896459586	0.018954575818303274	0.026219104876419493	0.17835671342685372	0.15714762859051426	0.020123580494321978	0.33249832999331963
0.1627421509686039	0.017952571810287244	0.05143620574482298	0.026803607214428843	0.026720106880427502	0.18662324649298592	0.14662658650634597	0.01778557114228457	0.31872077488309947
0.16007014028056119	0.023797595190380768	0.058283233132932544	0.026386105544422167	0.03423513694054774	0.1844522378089514	0.1586506346025385	0.024549098196392782	0.28665664662658646
0.16240814963259856	0.02672010688042751	0.06371075484301937	0.033817635270541074	0.03957915831663328	0.16583166332665325	0.13443553774215086	0.029726118904475594	0.2934201736806948
0.15372411489645968	0.030728122912491634	0.060955243820975315	0.036823647294589174	0.04934869739478962	0.15639612558450225	0.14144956579826315	0.0294756179024716	0.2908316633266534
