	sadness	anger	fear	anxiety	despair	joy	gratitude	surprise	neutral
0	0.013710826210826208	0.004985754985754985	0.003561253561253561	0.025641025641025644	0.0062321937321937314	0.06712962962962964	0.019052706552706546	0.01727207977207977	0.8342236467236466
1	0.1079059829059829	0.002136752136752137	0.011217948717948718	0.02172364672364672	0.013710826210826208	0.13924501424501426	0.07816951566951567	0.019408831908831907	0.5767450142450141
2	0.13960113960113962	0.004629629629629629	0.011217948717948718	0.012464387464387463	0.010327635327635327	0.1600783475783476	0.12464387464387468	0.008725071225071226	0.5005341880341879
3	0.14832621082621078	0.006054131054131054	0.01673789173789174	0.011574074074074073	0.017450142450142446	0.20192307692307687	0.155982905982906	0.012642450142450141	0.3990384615384619
4	0.16737891737891733	0.009971509971509971	0.0202991452991453	0.008725071225071226	0.013354700854700854	0.2061965811965812	0.186965811965812	0.01958689458689459	0.33404558404558404
5	0.19426638176638172	0.0033831908831908827	0.028846153846153848	0.01638176638176638	0.017628205128205125	0.20263532763532763	0.15918803418803415	0.01638176638176638	0.32033475783475773
6	0.1958689458689458	0.01210826210826211	0.030270655270655273	0.015847578347578342	0.019764957264957257	0.21599002849002846	0.16577635327635332	0.018696581196581196	0.28917378917378905
7	0.19052706552706547	0.015491452991452994	0.04878917378917379	0.01602564102564102	0.0300925925925926	0.17824074074074076	0.15811965811965828	0.020121082621082625	0.29647435897435903
8	0.17289886039886043	0.012998575498575495	0.05537749287749287	0.024750712250712254	0.02475071225071226	0.2024572649572649	0.15544871794871803	0.01638176638176638	0.29451566951566954
9	0.18429487179487172	0.016559829059829057	0.06588319088319088	0.022970085470085472	0.035434472934472945	0.18839031339031326	0.15847578347578348	0.025106837606837615	0.25961538461538447
10	0.1826923076923076	0.023148148148148157	0.0746082621082621	0.03240740740740741	0.029202279202279205	0.2085113960113961	0.12962962962962968	0.026353276353276365	0.24590455840455813
11	0.15918803418803418	0.0202991452991453	0.062143874643874636	0.03009259259259259	0.03988603988603988	0.1937321937321938	0.16452991452991456	0.029558404558404573	0.2553418803418803
12	0.18019943019943013	0.01584757834757835	0.06837606837606838	0.04326923076923076	0.04184472934472934	0.17076210826210828	0.13657407407407415	0.02581908831908833	0.27225783475783466
13	0.19426638176638172	0.01727207977207977	0.09099002849002849	0.028668091168091176	0.05324074074074071	0.15669515669515674	0.13497150997151	0.025284900284900286	0.2589031339031339
14	0.19960826210826207	0.01655982905982906	0.10559116809116809	0.041132478632478625	0.05466524216524215	0.14797008547008542	0.12980769230769246	0.016559829059829057	0.24394586894586887
15	0.1883903133903133	0.01887464387464387	0.12695868945868946	0.0527065527065527	0.06036324786324786	0.1333689458689459	0.12037037037037042	0.029558404558404562	0.22809829059829057
16	0.19515669515669512	0.016203703703703703	0.1381766381766382	0.05893874643874642	0.06695156695156691	0.1198361823361824	0.11235754985754992	0.02759971509971511	0.21972934472934477
17	0.20049857549857542	0.022435897435897433	0.1476139601139601	0.059116809116809096	0.06588319088319085	0.1267806267806268	0.10345441595441598	0.01798433048433048	0.20477207977207973
18	0.20316951566951566	0.025641025641025647	0.1440527065527066	0.047008547008547	0.08226495726495726	0.1086182336182336	0.10327635327635339	0.02955840455840456	0.21189458689458684
19	0.21403133903133892	0.026887464387464394	0.1745014245014245	0.05858262108262106	0.08333333333333333	0.1203703703703704	0.09490740740740743	0.03151709401709402	0.15580484330484337
